->assembly
|Number of Samples|Run time|       Memory|    Disk read| Disk write|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            List of Samples|
|-----------------|--------|-------------|-------------|-----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                1| 1459.86| 4912766976.0|  182646164.0| 17183573.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 2014C-3598|
|               10| 3353.71|35255185408.0| 2676476426.0| 76118347.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067|
|               20| 3367.65|64164257792.0| 4754971723.0| 98956398.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468|
|               30| 2318.82|64603623424.0| 9291534422.0| 79577626.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323|
|               40| 2249.34|64811339776.0|14384103010.0| 71142415.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323, D7324, D7327, D7328, D7329, D7330, D7331, D7333, D7334, MOD1_LS1000, MOD1_LS1003|
|               50| 2393.43|64726917120.0|17350803731.0|103810552.0|                                                                                                                                                                                                                                                                                                                                                                                                                                                                             2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323, D7324, D7327, D7328, D7329, D7330, D7331, D7333, D7334, MOD1_LS1000, MOD1_LS1003, MOD1_LS1004, MOD1_LS1005, MOD1_LS1006, MOD1_LS1008, MOD1_LS1009, MOD1_LS1010, MOD1_LS1011, MOD1_LS982, MOD1_LS985, MOD1_LS989|
|               60|  2483.4|64684855296.0|20482665612.0|115185397.0|                                                                                                                                                                                                                                                                                                                                              2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323, D7324, D7327, D7328, D7329, D7330, D7331, D7333, D7334, MOD1_LS1000, MOD1_LS1003, MOD1_LS1004, MOD1_LS1005, MOD1_LS1006, MOD1_LS1008, MOD1_LS1009, MOD1_LS1010, MOD1_LS1011, MOD1_LS982, MOD1_LS985, MOD1_LS989, MOD1_LS994, MOD1_LS995, MOD1_LS996, MOD1_LS997, MOD1_LS998, PNUSA000194, PNUSA000195, PNUSA000196, PNUSAL000730, PNUSAL000870|
|               70| 2516.16|64952614912.0|22198885000.0|144016703.0|                                                                                                                                                                          2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323, D7324, D7327, D7328, D7329, D7330, D7331, D7333, D7334, MOD1_LS1000, MOD1_LS1003, MOD1_LS1004, MOD1_LS1005, MOD1_LS1006, MOD1_LS1008, MOD1_LS1009, MOD1_LS1010, MOD1_LS1011, MOD1_LS982, MOD1_LS985, MOD1_LS989, MOD1_LS994, MOD1_LS995, MOD1_LS996, MOD1_LS997, MOD1_LS998, PNUSA000194, PNUSA000195, PNUSA000196, PNUSAL000730, PNUSAL000870, PNUSAL000957, PNUSAL001024, SIM_CFSAN000189, SIM_CFSAN000191, SIM_CFSAN000211, SIM_CFSAN000212, SIM_CFSAN000228, SIM_CFSAN000661, SIM_CFSAN000669, SIM_CFSAN000700|
|               80| 2609.84|64720457728.0|23920872558.0|198029553.0|2014C-3598, 2014C-3599, 2014C-3600, 2014C-3655, 2014C-3656, 2014C-3840, 2014C-3850, 2014C-3857, 2014C-3907, 2014D-0067, 2014D-0068, 2014D-0070, 2014D-0189, CFSAN002349, CFSAN023463, CFSAN023464, CFSAN023465, CFSAN023466, CFSAN023467, CFSAN023468, CFSAN023469, CFSAN023470, CFSAN023471, D5663, D7316, D7319, D7320, D7321, D7322, D7323, D7324, D7327, D7328, D7329, D7330, D7331, D7333, D7334, MOD1_LS1000, MOD1_LS1003, MOD1_LS1004, MOD1_LS1005, MOD1_LS1006, MOD1_LS1008, MOD1_LS1009, MOD1_LS1010, MOD1_LS1011, MOD1_LS982, MOD1_LS985, MOD1_LS989, MOD1_LS994, MOD1_LS995, MOD1_LS996, MOD1_LS997, MOD1_LS998, PNUSA000194, PNUSA000195, PNUSA000196, PNUSAL000730, PNUSAL000870, PNUSAL000957, PNUSAL001024, SIM_CFSAN000189, SIM_CFSAN000191, SIM_CFSAN000211, SIM_CFSAN000212, SIM_CFSAN000228, SIM_CFSAN000661, SIM_CFSAN000669, SIM_CFSAN000700, SIM_CFSAN000752, SIM_CFSAN000753, SIM_CFSAN000951, SIM_CFSAN000952, SIM_CFSAN000954, SIM_CFSAN000958, SIM_CFSAN000960, SIM_CFSAN000961, SIM_CFSAN000963, SIM_CFSAN000968|
